,id,name,summary
20,513,Phantasy Star Online 2,"Embark on a never-ending assortment of missions with fellow operatives and experience unparalleled character customization and action RPG combat, completely free to play. Explore numerous worlds with a party of up to four friends or exclusive multiparty areas where up to twelve players can play simultaneously!

Originally released in Japan and Asia in 2012 and 2014 respectively, The game makes its Global debut in 2020 with a North American launch on Xbox One and Windows 10 before eventually releasing on Steam and across 33 countries. The Global version features the latest balances and patches from the Japanese version while also slowly unlocking new content and features; starting out with the game's first three Episodes, Nine classes and several features introduced in latter major updates.

Aside from that, the game supports cross-platform multiplayer and uses a Free-to-Play model with in-game purchases; players can experience a lot of what the game has to offer with no upfront fee."
21,533,Dishonored,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make."
22,568,Marvel: Ultimate Alliance 2,"Marvel: Ultimate Alliance 2 is the second game in the Marvel: Ultimate Alliance series, and is loosely based on the events of the Civil War comic book story line. It brings with it a larger roster of heroes and villains to play as, as well as more ways to utilize your team in battle."
23,570,Prototype,"Prototype is the first of two games, and let's the user take control of Alex Mercer as he fights to stop the viral outbreak known as BLACKLIGHT throughout Manhattan. Alex is himself infected by the virus, which has given him special, mutant, abilities that will evolve with time and aid him in stopping the virus."
24,576,DC Universe Online,"DC Universe Online is a free-to-play superhero / supervillian MMORPG that lets players create their own unique tights-wearing hero or villain and roam the streets of places like Gotham City and Metropolis fighting or creating crime. Players fight alongside such iconic DC Comics characters as Superman and Batman, Lex Luthor and The Joker, and many others. Excellent physics help bring comic book action and combat to life, all under the creative direction of noted comic book artist Jim Lee."
25,673,DOOM,"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!"
26,730,Grand Theft Auto III,"Featuring a fully 3-D living city, a combination of narrative driven and non-linear gameplay and a completely open environment, Grand Theft Auto III represents a huge leap forward in interactive entertainment. For the first time, players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city, in which anything can happen and probably will. 
 
With a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, a huge array of street ready weapons and some of the seediest characters in video game history, Grand Theft Auto 3 is a sprawling epic which will show you that sometimes, crime can pay and sometimes it can pay you back. Available now for PlayStation®2, Xbox, PC and Macintosh."
27,732,Grand Theft Auto: San Andreas,"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life."
28,733,Grand Theft Auto: Vice City,"In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami."
29,847,Resident Evil 5,"Resident Evil 5 places you into the shoes of fan favorite, Chris Redfield. You are joined by Sheva Alomar, an African special agent tasked with investigating the epidemic which has broken out in Africa - a new bio-terrorism threat which is transforming the people and animals of the city into mindless, maddened creatures."
30,885,Super Meat Boy,Super Meat Boy is a tough as nails platformer where you play as an animated cube of meat who's trying to save his girlfriend (who happens to be made of bandages) from an evil fetus in a jar wearing a tux.
31,986,Halo 2,"Halo 2 is the sequel to the highly successful and critically acclaimed Halo: Combat Evolved. In Halo 2, the saga continues as Master Chief—a genetically enhanced super-soldier—is the only thing standing between the relentless Covenant and the destruction of all humankind."
32,987,Halo 3,"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in favor of the combined firepower of two weapons. Many weapons available in previous installments of the series return with minor cosmetic and power alterations. Unlike previous installments, the player's secondary weapon is visible on their player model, holstered or slung across the player's back.
Halo 3 introduces ""support weapons"", which are cumbersome two-handed weapons that slow the player, but offer greatly increased firepower in return. In addition to weapons, the game contains a new class of gear called equipment; these items have various effects, ranging from defensive screens to shield regeneration and flares. Only one piece of equipment can be carried at a time. The game's vehicular component has been expanded with new drivable and AI-only vehicles."
33,991,Halo 4,"Halo 4 marks the start of an epic new saga within the award-winning Halo universe. The Master Chief returns in this award-winning first-person shooter developed by 343 Industries. Shipwrecked on a mysterious world, faced with new enemies and deadly technology, the Chief returns to battle against an ancient evil bent on vengeance and annihilation...the universe will never be the same."
34,1011,Borderlands 2,"Five years after the events of Borderlands, a valuable mineral called ""Eridium"" starts flourishing through Pandora's crust. Handsome Jack, the leader of the Hyperion Corporation, secures this new resource and uses it to rule over Pandora with an iron fist. Meanwhile, rumors of an even larger Vault hidden on Pandora spread across the galaxy, drawing a new group of Vault Hunters to the planet in search of it."
35,1014,APB Reloaded,"APB: All Points Bulletin is a multiplayer online video game for Microsoft Windows developed by Realtime Worlds and was acquired by Reloaded Productions, which is part of the GamersFirst company. Based in urban sprawls and featuring two factions, Enforcers and the Criminals, players can form sub-groups in either faction and carry out missions. The game design was led by David Jones, who created the original Grand Theft Auto and Crackdown, and was developed by Realtime Worlds. It was released on June 6, 2010 in North America and Europe. 
 
After Realtime Worlds was placed into administration on August 17, 2010, the servers for online play were shut down later that year, but were reactivated when online gaming company K2 Network purchased APB for £1.5 million and relaunched it under their subsidiary company Reloaded Productions as a free-to-play game, renamed APB: Reloaded."
36,1020,Grand Theft Auto V,"The biggest, most dynamic and most diverse open world ever created, Grand Theft Auto V blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."
37,1081,The Elder Scrolls Online,"The Elder Scrolls Online is a massively multiplayer online role-playing game that was announced in May 2012. Developed by the team at ZeniMax Online Studios, The Elder Scrolls Online merges the unmatched exploration of rich worlds that the franchise is known for with the scale and social aspects of a massively multiplayer online role-playing game.

An entirely new chapter of Elder Scrolls history will be revealed in this ambitious world, set a millennium before the events of Skyrim as the Daedric prince, Molag Bal, tries to pull all of Tamriel into his demonic realm."
38,1082,Resident Evil 6,"Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013. Resident Evil favorites Leon S. Kennedy, Chris Redfield and Ada Wong are joined by new characters, including Jake Muller, to face a new horror, the highly virulent C-virus, as the narrative moves between North America, the war-torn Eastern European state of Edonia and the Chinese city of Lanshiang.Starting with three distinct, yet interwoven story threads, each with their own pair of protagonists for either solo or co-op play, both offline and online, not only will Resident Evil 6 deliver both different perspectives and gameplay styles but, with the introduction of the innovative Crossover mechanic players will be able to team up and share the horror. At key moments during the game, up to four players can join together online to tackle a specific situation, with some stages seeing the usual partnerships swapped to further increase the depth of gameplay.Once players have completed the initial three campaigns they will unlock an all new campaign featuring Resident Evil’s very own femme fatale, Ada Wong. A single player experience, Ada’s campaign features unique missions, gameplay and weapons which will provide answers to the unanswered questions from the first three campaigns."
39,1121,Watch_Dogs,"Set in Chicago, where a central network of computers connects everyone and everything, Watch_Dogs explores the impact of technology within our society. Using the city as your weapon, you will embark on a personal mission to inflict your own brand of justice. Chicago's overarching network is known as the Central Operating System (ctOS), and it controls almost all of the city's technology and information - including key data on all of the city's residents."
40,1184,World of Tanks,"World of Tanks is a massively multiplayer online game featuring early to mid-20th century era fighting vehicles. It is built upon a freemium business model where the game is free-to-play, but participants also have the option of paying a fee for use of ""premium"" features. The focus is on player vs. player gameplay with each player controlling an armored vehicle, which may be a light, medium or heavy tank, tank destroyer, or self-propelled gun. World of Tanks debuted as an eSports game at the World Cyber Games 2012.

The player takes control of a single armored vehicle of his or her choosing, and is placed into a battle on a random map. The player has control over the vehicle's movement, firing, and can communicate with other players through typed or voice chat, and several preset actions that give tactical instructions visible to only their team. The methods used to win a match are either destroying all vehicles on the opposing team or capturing a base present in some game modes. World of Tanks contains multiple game mechanics such as camouflage, shell ricochets, and module damage."
41,1214,Dark Cloud,"One of the PS2's first RPGs, Dark Cloud is a title that challenges players to not only strategise, battle and solve puzzles, but also to create geographical landscapes using the new Georama system. Gamers assume the role of a young boy named Toran on an unforgettable journey of rebirth, revival and hope. Unfortunately an evil demon spirit has been released and has left destruction in its wake and Toran must harness the spirit of those destroyed to rebuild the lands in time for an epic confrontation. True to life graphics should mesmerise gamers as they create villages complete with houses, hills, churches, volcanoes, and streams; they'll even be able to control the weather!"
42,1215,Dark Cloud 2,"BUILD your world. INVENT your weapons. CREATE your adventure.

Discover a secret binding the past, present and future. A secret where an innocent inventor, a temporal warrior and an ageless evil hold the key.

Experience an epic action/RPG adventure that relies on your innovation as much as exploration and fighting reflexes."
43,1217,Shenmue,"""He shall appear from a far Eastern land across the sea. A young man who has yet to know his potential. This potential is a power that can either destroy him, or realize his will. His courage shall determine his fate. The path he must traverse, fraught with adversity, I await whilst praying. For this destiny predetermined since ancient times... A pitch, black night unfolds with the morning star as its only light. And thus the saga, begins...""

This first chapter of Shenmue kicks off Yu Suzuki's cinematic Dreamcast tour-de-force, an exploration-heavy adventure that has players immerse themselves in Yokosuka, Japan. Players slip into the role of a young martial artist named Ryo Hazuki, who is on the trail of his father's killer. On the way, players must talk with hundreds of characters, engage in martial arts battles, and marvel at the realistic depiction of the Japanese coastal town."
44,1218,Shenmue II,"Yu Suzuki's cinematic masterpiece returns with more spellbinding adventure and an even more immersive world. The epic continues as Ryo Hazuki arrives in Hong Kong on his quest to avenge his father's murder by the warlord Lan Di and unravel the mystery of the Phoenix mirror. Set in Hong Kong, Kowloon, and Guilin, you'll travel through breathtaking scenery, rich with mountainous wilderness, traditional Taoist temples, and stunning tropical landscapes. As you move through massive, highly-detailed 3D worlds, you'll interact with almost every facet of your environment as well as a whole new cast of characters. 
 
Originally released on Dreamcast in Europe and Japan, this Xbox edition marks the sequel's debut in the US and includes the Shenmue Movie chronicling the first episode in the series."
45,1249,Tekken Tag Tournament,Tekken Tag Tournament is an update of Tekken 3 and is the fourth installment in the popular Tekken fighting game series. It is not canonical to the Tekken storyline however.
46,1262,South Park: The Stick of Truth,"From the perilous battlefields of the fourth-grade playground, a young hero will rise, destined to be South Park’s savior. From the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become… cool. Introducing South Park: The Stick of Truth.You begin as the new kid in town facing a harrowing challenge: making friends.

As you start your quest the children of South Park are embroiled in a city-wide, live-action-role-playing game, casting imaginary spells and swinging fake swords. Over time the simple children’s game escalates into a battle of good and evil that threatens to consume the world.Arm yourself with weapons of legend to defeat crab people, underpants gnomes, hippies and other forces of evil.

Discover the lost Stick of Truth and earn your place at the side of Stan, Kyle, Cartman and Kenny as their new friend. Succeed, and you shall be South Park’s savior, cementing your social status in South Park Elementary. Fail, and you will forever be known… as a loser."
47,1265,PlanetSide 2,"PlanetSide 2 is a Massively Multiplayer first person shooter that delivers truly epic, massive combat on a scale never before seen in stunning, breathtaking detail. Battles take place not between dozens of troops, but thousands; with air and ground vehicles slugging it out alongside squads of troops. Whether in open fields, tightly-packed urban centers or enormous structures, winning requires strategic teamwork and a quick trigger finger."
48,1267,Sleeping Dogs,"Wei Shen, an young officer working for the San Francisco Police Department gets tasked to go back to his hometown of Hong Kong. In Hong Kong Wei is assigned to the Hong Kong Police Department, in a effort to take down the ""Sun on Yee"" Wei goes undercover in the triad to gather information and take them down, But the police soon become worried that he is getting attached to his ""Friends"" such as Jackie Ma. In this journey of Betrayal and High stakes, Will Wei become a ""Red Pole"" and join the high ranks of the Triads or be discovered by them and buried alive?"
49,1331,Limbo,"Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister. Limbo's design is an example of gaming as an art form. Short and sweet, doesn't overstay its welcome. Puzzles are challenging and fun, not illogical and frustrating."
50,1334,Brothers: A Tale of Two Sons,"Brothers is presented from a third-person view overlooking the two brothers. The brothers are moved individually by two thumbsticks on the controller. The controller triggers also cause the respective brother to interact with the game world, such as talking to a non-player character or grabbing onto a ledge or object.

The older brother is the stronger of the two and can pull levers or boost his younger brother to higher spaces, while the younger one can pass between narrow bars. The player progresses by manipulating the two brothers at the same time to complete various puzzles, often requiring the player to manipulate both brothers to perform differing functions (such as one distracting a hostile non-player character while the other makes their way around).

Should either brother fall from a great height or get injured, the game restarts at a recent checkpoint. All of the in-game dialogue is spoken in a fictional language, thus the story is conveyed through actions, gestures and expressions."
51,1337,Torchlight II,"Torchlight II features randomly generated dungeons and numerous types of monsters to fight for loot. Torchlight II is an action RPG as its predecessor, but features overland areas with multiple hub towns, and a longer campaign. Players are able to customize character appearance with choice of sex, face, hair style and hair color. Additionally, several elements from the first game return, such as pets and fishing.
The game features four playable character classes. Each class has 3 skill trees to choose from which enable customization within each class."
52,1338,Prison Architect,"The game is a top-down 2D construction and management simulation where the player takes control of building and running a prison. The player is responsible for managing various aspects of their prison including building cells and facilities, planning and connecting utilities, hiring and assigning staff, including a warden, guards, workers, and more. The player needs to recruit staff to unlock more aspects of the game. The player is also responsible for the finance, and keeping their inmates content."
53,1339,Psychonauts,"A Psychic Odyssey Through the Minds of Misfits, Monsters, and Madmen. This classic action/adventure platformer from acclaimed developers Double Fine Productions follows the story of a young psychic named Razputin."
54,1342,Beyond: Two Souls,"This is an action game in which players assume the role of Jodie Holmes and her invisible companion ""Aiden"" through fifteen years of Jodie's life. From a third-person perspective, players control Jodie through fully interactive environments, choosing a variety of action-, dialogue-, and decision-paths based on on-screen prompts. Some choices can lead to depictions of violence: Jodie attacking assailants with punches, kicks, and various objects (e.g., tree branches and knives; impaling an enemy with a pipe). As the character Aiden, players solve puzzles, manipulate objects and attack (e.g., strangulation) Jodie's assailants. Players can also use Aiden to possess enemies and perform violent acts (e.g., shooting fellow SWAT members; crashing vehicles; performing self-inflicted gunshot wounds). Some of these sequences are accompanied by blood-splatter effects. In one cutscene, a bound character's eye is cut out during an interrogation—the act is obscured by a character's back. One prolonged bar sequence depicts three men attempting to rape a woman; players control Aiden and interact with objects to stop the assailants. Another sequence depicts a character propositioning a woman to perform fellatio. The game includes depictions of the central character drinking beer and smoking a marijuana in a party setting – screen distortion occurs during theses sequences. The words “f**k” and “sh*t” can be heard in the dialogue."
55,1352,Journey,"A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers."
56,1353,flOw,"flOw is a game about piloting an aquatic organism through a surreal biosphere where players consume other organisms, evolve, and dive into the abyss. With an embedded design of DDA (dynamic difficulty adjustment), players with differing skill levels can intuitively customize their game experience and enjoy the game at their own pace. 
 
You can play as one of 5 creatures, each in a unique environment. Lose yourself in the crisp “deep blue” in full HD at 1080p and 5.1 Surround Sound. Use the SIXAXIS motion sensors on the DUALSHOCK wireless controllers for an organic experience that will allow you to glide, flit, and flOw through the universe."
57,1384,Hotline Miami,"A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who."
58,1405,Hawken,"War is a Machine Pilot hulking death machines and use massive weaponry to destroy your foes in fast-paced FPS gameplay.

Hawken is a multiplayer first person shooter that places you inside a mechanized war machine on the battlefield of a dystopian world. With tactical, fast-paced gameplay in customizable and upgradable mechs across multiple competitive modes, Hawken is explosively fun."
59,1408,Metal Slug 3,"“METAL SLUG 3”, the masterpiece in SNK’s emblematic 2D run & gun action shooting game series, still continues to fascinate millions of fans worldwide to this day for its intricate dot-pixel graphics, and simple and intuitive game controls! The most highly praised title in the series among Metal Slug fans for its refined balance and game volume, heads out to the Steam gaming platform! MAIN FEATURES・ARCADE MODE (MAIN MISSION):
Play the arcade version of “METAL SLUG 3” from the beginning, and explore 5 immense challenging stages featuring multiple branching paths to explore exciting new areas! Make your way through the deluge of fire and fight off gigantic boss characters!

・MISSION MODE (STAGE SELECT):
Play your favorite stages at will and train alone or with a brother-in-arms on the missions you have unlocked so far!

・ONLINE MISSION (ONLINE MULTIPLAYER):
Connect to Steam and clear missions with friends far away via Online Co-Op Play.
Find a fellow countryman or foreign ally and let the mission begin!

・SETTINGS:
Configure display, control, and language settings.

・GALLERY:
View original illustrations of the game that you've unlocked.

・LEADERBOARDS
Check your current rank and score in“METAL SLUG 3” at any time,
and compete with other players to become the world's No. 1 soldier!

** WILL NOT RUN ON XP **"
60,1421,Kengo 2: Sword of the Samurai,"The second game in the Kengo series was released for the PlayStation 2 in Japan on June 27, 2002. It was released in Europe on February 14, 2003 under the title Sword of the Samurai. It features a character creation feature and over 100 detailed swords to choose from. Published by Ubisoft.  
 
Ubisoft announced a US release to be called Kengo: Legacy of the Blade at one point but the deal ended up falling through, thus it was never released."
